Item #, Item Description, MSP, Retail Price, Dealer Price, Sale Price, Sale Ends, Quantity, UPC Code, Manufacturer, Gun Type, Model Series, Caliber, Action, Capacity, Finish,Stock, Sights, Barrel Length, Overall Length, Features
051564490,BRN BM CONTOUR 22LR 5.5 AS,$519.00,$699.99,$519.00,,,14,#023614742708#,Browning,Pistol: Semi-Auto,Buck Mark,22LR,Single Action,10+1,Blue with Polished Flats,Ultragrip RX Ambidextrous,Adjustable Pro Target,5.5 Special Contour,9.5,Full-Length Picatinny Scope Base
051461490,BRN BM LITE GRY 22LR 5.5 B CA,$529.00,$729.99,$529.00,,,0,#023614068204#,Browning,Pistol: Semi-Auto,Buck Mark,22LR,Single Action,10+1,Matte Gray,Ultragrip RX Ambidextrous Grips,RR: Adjustable Pro Target FT: TruGlo Fiber Optic,5.5,9.5,Gold Trigger
051409490,BRN BM MS STD URX 22LR 5.5B CA,$469.00,$629.99,$469.00,,,40,#023614250975#,Browning,Pistol: Semi-Auto,Buck Mark,22LR,Single Action,10+1,Stainless Steel,Ultragrip RX Ambidextrous,Adjustable Pro Target,5.5 Slabside W/ Polished Flats,9.5,CA Compliant
051407490,BRN BM MS STD URX 22LR 5.5 CA,$429.00,$579.99,$429.00,,,4,#023614250951#,Browning,Pistol: Semi-Auto,Buck Mark,22LR,Single Action,10+1,Matte Blue,Ultragrip RX Ambidextrous,Pro Target Adjustable Sights,5.5 Slabside with Polished Flats,9.5,CA Compliant
051428490,BRN BM MS PLUS 22LR 5.5B AS CA,$499.00,$679.99,$499.00,,,6,#023614251897#,Browning,Pistol: Semi-Auto,Buck Mark,22LR,Single Action,10+1,Matte Blue,Laminated/ Brown/ Walnut UltraGrip DX Grips,Adj Pro Target With Marble Tru-Glo Front Sight,5.5 Slabside Barrel,9.5,CA Compliant
051562490,BRN BM PLS VIS BLUE 22LR 10,$619.00,$829.99,$619.00,,,10,#023614742517#,Browning,Pistol: Semi-Auto,Buck Mark,22LR,Single Action,10+1,Blue Anodized,UFX Black Rubber Overmolded Grip,Adj Pro Target With Marble Tru-Glo Front Sight,5.9  Alloy Barrel Sleeve with Honeycomb Cutouts,9.9,Threaded Barrel 1/2-28 TPI/ Suppressor Ready
051572490,BRN BM PLS VIS AMR 22LR 10,$619.00,$829.99,$619.00,,,3,#023614850908#,Browning,Pistol: Semi-Auto,Buck Mark,22LR,Single Action,10+1,Blue Anodized,UFX Black Rubber Overmolded Grip,Adj Pro Target With Marble Tru-Glo Front Sight,5.86  Alloy Barrel Sleeve with Americana Theme,9.9,Threaded Barrel 1/2-28 TPI/ Suppressor Ready
051573490,BRN BM PLS VIS GOLD 22LR 10,$599.00,$799.99,$599.00,,,5,#023614850915#,Browning,Pistol: Semi-Auto,Buck Mark,22LR,Single Action,10+1,Black Anodized,UFX Black Rubber Overmolded Grip,Adj Pro Target With Marble Tru-Glo Front Sight,5.9  Honeycomb Cutouts/ Gold Cerakote Inner Bbl,9.9,Threaded Barrel 1/2-28 TPI/ Suppressor Ready
051530490,BRN BM PLUS PRACT URX 22LR 5.5,$429.00,$579.99,$429.00,$429.00,3/31/2023,8,#023614444008#,Browning,Pistol: Semi-Auto,Buck Mark,22LR,Single Action,10+1,Matte Blue,Ultragrip RX,FT: TruGlo Fiber Optic RR: Pro Target Adjustable,5.5 Tapered Bull Barrel,9.5,Picatinny Optics Rail
051543490,BRN BM MEDALLION 22LR PST 10RD,$469.00,$629.99,$469.00,,,0,#023614735618#,Browning,Pistol: Semi-Auto,Buck Mark,22LR,Single Action,10+1,Matte Black,Laminated Rosewood Colored Grips,FT: Marble Arms Red Fiber Optic RR: Pro-Target,5.5 Blackened SS Slabsided/ Polished Flats,9.5,
051499490,BRN BM HUNTER 22LR PST 10RD,$459.00,$629.99,$459.00,,,0,#023614043393#,Browning,Pistol: Semi-Auto,Buck Mark,22LR,Single Action,10+1,Matte Blue,Laminated Cocobolo Colored Grips,FT: Marble Arms Fiber Optic RR: Pro-Target,7.25 Heavy Tapered Bull Barrel,11.25,Integral Picatinny Optics Rail
051580490,BRN BM HUNTER 22LR 5.9 10R RD,$669.00,$899.99,$669.00,,,7,#023614853930#,Browning,Pistol: Semi-Auto,Buck Mark,22LR,Single Action,10+1,Matte Blue,Laminated Cocobolo Colored Grips,FT: TRUGLO Fiber Optic RR: Blade,5.9 Heavy Bull Barrel,9.9,Vortex Crossfire Included/ Threaded 1/2x28
051427490,BRN BM PL UDX 22LR 5.5SS 10 CA,$529.00,$729.99,$529.00,,,0,#023614253228#,Browning,Pistol: Semi-Auto,Buck Mark,22LR,Single Action,10+1,Stainless Steel,Wood Laminated,FT: TruGlo Marbles Fiber Optic RR: Pro-Tgt Adj.,5.5 Stainless Slab Side/ Polished Flats,9.5,CA Compliant
051429490,BRN BM PLS UDX 22LR 5.5 10R CA,$499.00,$679.99,$499.00,,,2,#023614251903#,Browning,Pistol: Semi-Auto,Buck Mark,22LR,Single Action,10+1,Matte Blue,Textured Rosewood Colored Grips,FT: Truglo Marbles Fiber Optic  RR: Pro-Tgt Adj.,5.5 Slab Side Bull BBL,9.5,Gold Trigger
051448490,BRN BM PRACT URX 5.5B 22LR CA,$399.00,$549.99,$399.00,,,4,#023614259541#,Browning,Pistol: Semi-Auto,Buck Mark,22LR,Single Action,10+1,Matte Blue,Ultragrip RX/ Ambidextrous,Rr: Adj Pro Target/ Ft:Tru-Glo/Marble Fiber Opt,5 1/2 Tapered Bull,9 1/2,CA Compliant
051483490,BRN BM CAMPER UFX 22LR SS CA,$379.00,$499.99,$379.00,,,1,#023614397670#,Browning,Pistol: Semi-Auto,Buck Mark,22LR,Single Action,10+1,Matte Stainless Steel,Overmolded Ultra Grip FX,Adjustable Pro Target,5.5 Tapered Bull,9.5,CA Compliant
051586490,BRN BM FLD/TGT TUNGST 22LR 10R,$429.00,$579.99,$429.00,,,0,#023614857570#,Browning,Pistol: Semi-Auto,Buck Mark,22LR,Single Action,10+1,Tungsten Cerakote,Black UFX Grips,Adjustable Pro Target,5.5,10,Picatinny Optics Rail/ Includes Browning Pistol Rug
051581490,BRN BM MEDALION SS 22LR 10R RD,$689.00,$929.99,$689.00,,,1,#023614853947#,Browning,Pistol: Semi-Auto,Buck Mark,22LR,Single Action,10+1,Stainless Steel,Laminated Rosewood Colored Grips,FT: TRUGLO Fiber Optic RR: Blade,5.5 Heavy Bull Barrel,9.5,Vortex Crossfire Included/ Co-Witness Sights
051582490,BRN BM PLS VIS BLK/GLD 22LR 10,$789.00,$1079.99,$789.00,,,0,#023614853954#,Browning,Pistol: Semi-Auto,Buck Mark,22LR,Single Action,10+1,Black Anodized,UFX Black Rubber Overmolded Grip,TRUGLO Fiber Optic/ RR: Blade,5.9 Black Sleeve with Hex Ports,9.9,Threaded Barrel 1/2-28/ Vortex Crossfire
051584490,BRN BM PLS VIS TRIAD 22LR 10,$599.00,$799.99,$599.00,,,0,#023614857556#,Browning,Pistol: Semi-Auto,Buck Mark,22LR,Single Action,10+1,Black Anodized,UFX Black Rubber Overmolded Grip,TRUGLO Fiber Optic/ RR: Adjustable Blade,5.5 Black Sleeve with Triangular Cut,10,Threaded Barrel 1/2-28/ Muzzle Brake
051585490,BRN BM VISION BLU SHOL 22LR 10,$599.00,$799.99,$599.00,,,0,#023614857563#,Browning,Pistol: Semi-Auto,Buck Mark,22LR,Single Action,10+1,Matte Blue Anodized,UFX Black Rubber Overmolded Grip,TRUGLO Fiber Optic/ RR: Adjustable Blade,5.5 Black Sleeve with Triangular Cut,10,Threaded Barrel 1/2-28/ Muzzle Brake/ Pic Rail
035801218,BRN AB3 HUNTER 308 22B,$579.00,$779.99,$579.00,,,0,#023614058717#,Browning,Rifle: Bolt Action,A-Bolt,308,Bolt Action,5+1,Matte Blue,Satin Finished Checkered Walnut,No Sights,22,42,Detachable Box Magazine/ Sling Swivel Studs
035801224,BRN AB3 HUNTER 270 22B,$579.00,$779.99,$579.00,,,0,#023614400608#,Browning,Rifle: Bolt Action,A-Bolt,270,Bolt Action,5+1,Matte Blue,Satin Finished Checkered Walnut,No Sights,22,42.75,Detachable Box Magazine/ Sling Swivel Studs
035801282,BRN AB3 HUNTER 6.5CREED 22B,$579.00,$779.99,$579.00,,,0,#023614442295#,Browning,Rifle: Bolt Action,A-Bolt,6.5 Creedmoor,Bolt Action,5+1,Matte Blue,Satin Finished Checkered Walnut,No Sights,22,42,Detachable Box Magazine/ Sling Swivel Studs
035801226,BRN AB3 HNTR BA RFL 30-06 WAL,$579.00,$779.99,$579.00,,,0,#023614400615#,Browning,Rifle: Bolt Action,A-Bolt,30-06,Bolt Action,4+1,Matte Blue,Black/ Walnut,No Sights,22,42.75,Detachable Box Magazine/ Sling Swivel Studs
035801229,BRN AB3 HUNTER 300 26B,$579.00,$779.99,$579.00,,,0,#023614400639#,Browning,Rifle: Bolt Action,A-Bolt,300,Bolt Action,3+1,Matte Blue,Satin Finished Checkered Walnut,No Sights,26,46.75,Detachable Box Magazine/ Sling Swivel Studs
035800282,BRN AB3 COMP STLKR 6.5CR 22B,$509.00,$699.99,$509.00,,,0,#023614442301#,Browning,Rifle: Bolt Action,A-Bolt|AB3,6.5 Creedmoor,Bolt Action,5+1,Matte Blue,Black Composite with Textured Gripping Surfaces,No Sights,22,42,Detachable Box Magazine/ Sling Swivel Studs
035800218,BRN AB3 COMP STLKR 308 22B,$509.00,$699.99,$509.00,,,0,#023614400929#,Browning,Rifle: Bolt Action,A-Bolt|AB3,308,Bolt Action,5+1,Matte Blue,Black Composite with Textured Gripping Surfaces,No Sights,22,42,Detachable Box Magazine/ Sling Swivel Studs
035800224,BRN AB3 COMP STLKR BA 270 22B,$509.00,$699.99,$509.00,,,0,#023614398240#,Browning,Rifle: Bolt Action,A-Bolt|AB3,270,Bolt Action,5+1,Matte Blue,Black Composite with Textured Gripping Surfaces,No Sights,22,42.75,Detachable Box Magazine/ Sling Swivel Studs
035800226,BRN AB3 COMP STLKR 30-06 22B,$509.00,$699.99,$509.00,,,0,#023614398257#,Browning,Rifle: Bolt Action,A-Bolt|AB3,30-06,Bolt Action,5+1,Matte Blue,Black Composite with Textured Gripping Surfaces,No Sights,22,42.75,Detachable Box Magazine/ Sling Swivel Studs
035800227,BRN AB3 COMP STLKR 7MM 26B,$509.00,$699.99,$509.00,,,0,#023614398264#,Browning,Rifle: Bolt Action,A-Bolt|AB3,7MM,Bolt Action,3+1,Matte Blue,Black Composite with Textured Gripping Surfaces,No Sights,26,46.75,Detachable Box Magazine/ Sling Swivel Studs
035800229,BRN AB3 COMP STLKR BA 300 BLK,$509.00,$699.99,$509.00,,,0,#023614398271#,Browning,Rifle: Bolt Action,A-Bolt|AB3,300,Bolt Action,3+1,Matte Blue,Black Composite with Textured Gripping Surfaces,No Sights,26,46.75,Detachable Box Magazine/ Sling Swivel Studs
035808282,BRN AB3 MICRO STLKR 6.5CR 20B,$509.00,$699.99,$509.00,,,0,#023614442813#,Browning,Rifle: Bolt Action,A-Bolt|AB3,6.5 Creedmoor,Bolt Action,5+1,Matte Blue,Black Composite with Textured Gripping Surfaces,No Sights,20,39.38,Detachable Box Magazine/ Sling Swivel Studs
031001223,BRN BAR SAFARI SA RFL 2506 N/S,$1239.00,$1679.99,$1239.00,,,0,#023614074939#,Browning,Rifle: Semi-Auto,BAR,25-06,Semi-Automatic,4+1,Blue,Gloss Select Walnut Stock And Fore-End,No Sights,24,45,4 Round Detachable Box Magazine/ Hinged Floor Plate
031001224,BRN BAR SAFARI SA RFL 270 N/S,$1239.00,$1679.99,$1239.00,,,0,#023614286974#,Browning,Rifle: Semi-Auto,BAR,270,Semi-Automatic,4+1,Blue,Gloss Select Walnut Stock And Fore-End,No Sights,22,43,4 Round Detachable Box Magazine/ Hinged Floor Plate
031001226,BRN BAR SAFARI SA RFL 3006 N/S,$1239.00,$1679.99,$1239.00,,,0,#023614286998#,Browning,Rifle: Semi-Auto,BAR,30-06,Semi-Automatic,4+1,Blue,Gloss Select Walnut Stock And Fore-End,No Sights,22,43,4 Round Detachable Box Magazine/ Hinged Floor Plate
031001218,BRN BAR SAFARI SA RFL 308 N/S,$1239.00,$1679.99,$1239.00,,,0,#023614287001#,Browning,Rifle: Semi-Auto,BAR,308,Semi-Automatic,4+1,Blue,Gloss Select Walnut Stock And Fore-End,No Sights,22,43,4 Round Detachable Box Magazine/ Hinged Floor Plate
031072218,BRN BAR MK3 SPD SA 308 22B CAM,$1359.00,$1829.99,$1359.00,,,0,#023614852414#,Browning,Rifle: Semi-Auto,BAR,308,Semi-Automatic,4+1,Smoked Bronze Cerakote,Composite/ OVIX Camo/ Over Molded Panels,No Sights,22,44.125,Detachable Box Magazine/ Drilled & Tapped
031072224,BRN BAR MK3 SPD SA 270 22B CAM,$1359.00,$1829.99,$1359.00,,,0,#023614852421#,Browning,Rifle: Semi-Auto,BAR,270,Semi-Automatic,4+1,Smoked Bronze Cerakote,Composite/ OVIX Camo/ Over Molded Panels,No Sights,22,44.125,Detachable Box Magazine/ Drilled & Tapped
031072226,BRN BAR MK3 SPD SA 30-06 22B C,$1359.00,$1829.99,$1359.00,,,0,#023614852438#,Browning,Rifle: Semi-Auto,BAR,30-06,Semi-Automatic,4+1,Smoked Bronze Cerakote,Composite/ OVIX Camo/ Over Molded Panels,No Sights,22,44.125,Detachable Box Magazine/ Drilled & Tapped
031072227,BRN BAR MK3 SPD SA 7MM 24B CAM,$1439.00,$1929.99,$1439.00,,,0,#023614852469#,Browning,Rifle: Semi-Auto,BAR,7MM,Semi-Automatic,3+1,Smoked Bronze Cerakote,Composite/ OVIX Camo/ Over Molded Panels,No Sights,24,46.125,Detachable Box Magazine/ Drilled & Tapped
031072229,BRN BAR MK3 SPD SA 300 24B CAM,$1439.00,$1929.99,$1439.00,,,0,#023614852476#,Browning,Rifle: Semi-Auto,BAR,300,Semi-Automatic,3+1,Smoked Bronze Cerakote,Composite/ OVIX Camo/ Over Molded Panels,No Sights,24,46.125,Detachable Box Magazine/ Drilled & Tapped
031065218,BRN BAR MK3 DBM SA 308 N/S WD,$1309.00,$1779.99,$1309.00,,,0,#023614736790#,Browning,Rifle: Semi-Auto,BAR,308,Semi-Automatic,10+1,Matte Black,Satin Oil Finish Grade II Turkish Walnut,No Sights,18,40.125,Detachable Box Magazine/ Picatinny Rails for Optics
031054218,BRN BAR MK3 DBM SA 308 N/S SYN,$1279.00,$1729.99,$1279.00,,,0,#023614443537#,Browning,Rifle: Semi-Auto,BAR,308,Semi-Automatic,10+1,Matte Black,Matte Black Synthetic/ Overmolded Grip Panels,No Sights,18 Fluted,40.125,Detachable Box Magazine/
031048226,BRN BAR MK3 STALK SA 30-06 N/S,$1099.00,$1479.99,$1099.00,,,0,#023614439790#,Browning,Rifle: Semi-Auto,BAR,30-06,Semi-Automatic,4+1,Matte Black,Matte Black Synthetic/ Overmolded Grip Panels,No Sights,22,44.125,Detachable Box Magazine/ Drilled & Tapped
031048229,BRN BAR MK3 STALK SA 300 N/S,$1189.00,$1599.99,$1189.00,,,0,#023614439813#,Browning,Rifle: Semi-Auto,BAR,300,Semi-Automatic,3+1,Matte Black,Matte Black Synthetic/ Overmolded Grip Panels,No Sights,24,46.125,Detachable Box Magazine/ Drilled & Tapped
031048218,BRN BAR MK3 STALK SA 308 N/S,$1099.00,$1479.99,$1099.00,,,0,#023614439752#,Browning,Rifle: Semi-Auto,BAR,308,Semi-Automatic,4+1,Matte Black,Matte Black Synthetic/ Overmolded Grip Panels,No Sights,22,44.125,Detachable Box Magazine/ Drilled & Tapped
031047211,BRN BAR MK3 SA RFL 243 N/S,$1099.00,$1479.99,$1099.00,,,0,#023614439646#,Browning,Rifle: Semi-Auto,BAR,243,Semi-Automatic,4+1,Satin Nickel,Oil Finish Grade II Checkered Walnut,No Sights,22 Polished Blue,43.375,Detachable Box Magazine/ Drilled & Tapped
031047224,BRN BAR MK3 SA RFL 270 N/S,$1099.00,$1479.99,$1099.00,,,0,#023614439691#,Browning,Rifle: Semi-Auto,BAR,270,Semi-Automatic,4+1,Satin Nickel,Oil Finish Grade II Checkered Walnut,No Sights,22,43.375,Detachable Box Magazine/ Drilled & Tapped
031047226,BRN BAR MK3 SA RFL 30-06 N/S,$1099.00,$1479.99,$1099.00,,,0,#023614439707#,Browning,Rifle: Semi-Auto,BAR,30-06,Semi-Automatic,4+1,Satin Nickel,Oil Finish Grade II Checkered Walnut,No Sights,22 Polished Blue,43.375,Detachable Box Magazine/ Drilled & Tapped
031047229,BRN BAR MK3 SA RFL 300 N/S,$1189.00,$1599.99,$1189.00,,,0,#023614439721#,Browning,Rifle: Semi-Auto,BAR,300,Semi-Automatic,3+1,Satin Nickel,Oil Finish Grade II Checkered Walnut,No Sights,24 Polished Blue,45.375,Detachable Box Magazine/ Drilled & Tapped
031047218,BRN BAR MK3 SA RFL 308 N/S,$1099.00,$1479.99,$1099.00,,,0,#023614439660#,Browning,Rifle: Semi-Auto,BAR,308,Semi-Automatic,4+1,Satin Nickel,Oil Finish Grade II Checkered Walnut,No Sights,22 Polished Blue,43.375,Detachable Box Magazine/ Drilled & Tapped
024115103,BRN BL-22 MICRO MIDAS 22LR RFL,$579.00,$779.99,$579.00,,,0,#023614071242#,Browning,Rifle: Lever Action,BL-22,22LR,Lever Action,12+1,Blue,Gloss Finish American Walnut Stock & Forearm,Adjustable,16.25 Recessed Crown,31.5,Tubular Magazine
024100103,BRN BL-22 22LR LVR RFL GRD I,$619.00,$849.99,$619.00,,,0,#023614025474#,Browning,Rifle: Lever Action,BL-22,22LR,Lever Action,15 Round Tubular (LR),Blue,High Gloss Walnut,Open Sights,20,36.75,33 Degree Lever Throw
024101103,BRN BL-22 22LR LVR RFL GRD II,$709.00,$979.99,$709.00,,,0,#023614025481#,Browning,Rifle: Lever Action,BL-22,22LR,Lever Action,15,Blue,Checkered Walnut/ Select Hi-Gloss/Straight Grip,Open Sights,20,36.75,Shoots 22LR/ Long Or Short/ Tubular Magazine
024107102,BRN BL-22 22LR LVR GRD I NICKL,$649.00,$879.99,$649.00,,,0,#023614250197#,Browning,Rifle: Lever Action,BL-22,22LR,Lever Action,15 Round Tubular (LR),Blue,Satin Finish Grade I Walnut,Open Sights,20,36.75,33 Degree Lever Throw
024108102,BRN BL-22 22LR LVR GRDII NICKL,$769.00,$1049.99,$769.00,,,0,#023614250203#,Browning,Rifle: Lever Action,BL-22,22LR,Lever Action,15 Round Tubular (LR),Blue,Satin Finish Grade II Walnut,Open Sights,20,36.75,33 Degree Lever Throw
024105155,BRN BL-22 22LR LVR GRDII OCTGN,$979.00,$1329.99,$979.00,,,0,#023614243816#,Browning,Rifle: Lever Action,BL-22,22LR,Lever Action,15 Round Tubular (LR),Blue,Satin Finish Grade II Walnut,Open Sights,24 Full Octagon,40.75,33 Degree Lever Throw
034006124,BRN BLR LTWT 81 270 LVR RFL,$889.00,$1199.99,$889.00,,,0,#023614240341#,Browning,Rifle: Lever Action,BLR,270,Lever Action,4+1,Blue,Walnut/ Gloss/ Checkered/ Straight,Adjustable Rear/ Ft: Gold Bead Ramp,22,42.88,Cable Lock/ 4 Round Detachable Box Magazine
034006126,BRN BLR LTWT 81 30-06 LVR RFL,$889.00,$1199.99,$889.00,,,0,#023614240365#,Browning,Rifle: Lever Action,BLR,30-06,Lever Action,4+1,Blue,Walnut/ Gloss/ Checkered/ Straight,RR: Adjustable Rear/ FT: Gold Bead Ramp,22,42.88,Cable Lock/ 4 Round Detachable Box Magazine
034006118,BRN BLR LTWT 81 308 LVR RFL,$839.00,$1129.99,$839.00,,,0,#023614240655#,Browning,Rifle: Lever Action,BLR,308,Lever Action,4+1,Blue,Walnut/ Gloss/ Checkered/ Straight,Adjustable Rear/ Ft: Gold Bead Ramp,20,39.38,Cable Lock/ 4 Round Detachable Box Magazine/
034006182,BRN BLR LTWT 81 6.5CM LVR RFL,$839.00,$1129.99,$839.00,,,0,#023614741510#,Browning,Rifle: Lever Action,BLR,6.5 Creedmoor,Lever Action,4+1,Blue,Grade I Black Walnut/Gloss/Checkered/Straight,RR: Adjustable Rear/ FT: Gold Bead Ramp,20,40,Cut Checkering 18 LPI
034009111,BRN BLR LTWT PG 243 LVR RFL,$889.00,$1199.99,$889.00,,,0,#023614250029#,Browning,Rifle: Lever Action,BLR,243,Lever Action,4+1,Polished Blue,Walnut/ Gloss/ Checkered/ with Pistol Grip,Adjustable Rear/ Ft: Gold Bead Ramp,20,40,Crowned Muzzle/ Detachable Box Magazine
034009182,BRN BLR LTWT PG 6.5CR LVR RFL,$889.00,$1199.99,$889.00,,,0,#023614741534#,Browning,Rifle: Lever Action,BLR,6.5 Creedmoor,Lever Action,4+1,Polished Blue,Walnut/ Gloss/ Checkered/ with Pistol Grip,Adjustable Rear/ Ft: Gold Bead Ramp,20,40,Crowned Muzzle/ Detachable Box Magazine
